AppID,Title,Rarest Achievement %,Completed
1045720,The Coma 2: Vicious Sisters,6.7,False
1953860,Garden in!,6.7,False
334940,Yoku's Island Express,6.6,False
236930,Blackwell Epiphany,6.6,True
308060,Black The Fall,6.6,False
1354910,Tiny Lands,6.6,False
251430,The Inner World,6.6,False
380150,STASIS,6.6,False
674930,Boyfriend Dungeon,6.6,False
228320,A Valley Without Wind 2,6.6,False
351940,The Descendant,6.5,False
994140,Lightmatter,6.5,False
1574580,Strange Horticulture,6.5,False
834450,Roarr! Jurassic Edition,6.5,False
828740,Tales of the Neon Sea,6.5,False
1130410,Cyber Hook,6.5,True
365450,Hacknet,6.5,False
900270,Reventure,6.5,False
287260,Toybox Turbos,6.5,False
790810,Voxel Baller,6.5,False
883360,Beyond Blue,6.5,False
630310,The Mummy Demastered,6.5,False
1186640,Pumpkin Jack,6.5,False
1406850,The Legend of Tianding,6.5,False
445980,Wizard of Legend,6.5,False
1303660,Geometric Sniper,6.5,False
695100,Smoke and Sacrifice,6.4,False
690140,Sword Legacy Omen,6.4,False
1087760,The Gunk,6.4,False
80340,Blackwell Unbound,6.4,True
239030,"Papers, Please",6.4,False
1338130,Popo's Tower,6.3,False
1048740,Half Past Fate,6.3,False
965680,Boomerang Fu,6.3,False
1491670,Venba,6.3,False
656510,Epic Car Factory,6.3,False
274230,RONIN,6.3,False
248550,Megabyte Punch,6.3,False
96100,Defy Gravity,6.3,False
359310,Evoland 2,6.3,False
812160,Etherborn,6.2,False
460700,Song of the Deep,6.2,False
383270,Hue,6.2,False
1354830,Cat Cafe Manager,6.2,False
1145360,Hades,6.2,False
470090,Quantum Replica,6.2,False
1329540,CROSSBOW: Bloodnight,6.2,False
986310,Recompile,6.2,False
1720090,Aspire: Ina's Tale,6.2,False
389730,TEKKEN 7,6.2,False
219910,Edna & Harvey: Harvey's New Eyes,6.1,False
270550,Yet Another Zombie Defense,6.1,False
1049710,Minute of Islands,6.1,False
1353270,Five Dates,6.1,False
589780,The Red Strings Club,6.1,False
509220,Save Jesus,6.1,False
570940,DARK SOULS™: REMASTERED,6.1,True
352890,Caravan,6.1,False
609490,Minit,6.0,True
525510,"Guns, Gore and Cannoli 2",6.0,False
535480,Sundered: Eldritch Edition,6.0,False
811270,Impulsion,6.0,False
613470,The Inner World: The Last Wind Monk,6.0,False
423590,The Little Acre,6.0,False
312840,Fahrenheit: Indigo Prophecy Remastered,6.0,False
1422420,Dodgeball Academia,6.0,False
1543430,Terrain of Magical Expertise,6.0,False
466500,35MM,6.0,False
439190,Stories: The Path of Destinies,5.9,False
504230,Celeste,5.9,False
360830,Yooka-Laylee,5.9,False
1390350,Webbed,5.9,False
555440,Deathgarden: BLOODHARVEST,5.9,False
1063310,Vane,5.9,False
960420,Hello Neighbor: Hide and Seek,5.9,False
262000,Gabriel Knight - Sins of the Fathers,5.8,True
772480,Super Inefficient Golf,5.8,False
653530,Return of the Obra Dinn,5.8,True
1479390,Alekon,5.8,False
368390,The Darkside Detective,5.8,True
311480,Vertical Drop Heroes HD,5.8,False
512790,Quern - Undying Thoughts,5.8,True
35420,Killing Floor Mod: Defence Alliance 2,5.8,False
418950,DreadOut: Keepers of The Dark,5.8,False
763250,The Spectrum Retreat,5.8,False
600370,Paradigm,5.8,False
356040,Sheltered,5.7,False
1206620,Soul Axiom Rebooted,5.7,False
1558930,Little Orpheus,5.7,False
216090,Go Home Dinosaurs!,5.7,False
1367550,Kingdom Rush Vengeance,5.7,False
457680,OPUS: The Day We Found Earth,5.7,False
785790,WHAT THE GOLF?,5.7,False
640590,The LEGO® NINJAGO® Movie Video Game,5.7,False
219950,NiGHTS into Dreams...,5.7,False
973760,Thronebreaker: The Witcher Tales,5.6,False
371140,Aegis Defenders,5.6,False
44350,GRID 2,5.6,False
221640,Super Hexagon,5.6,False
205650,The Testament of Sherlock Holmes,5.6,False
279940,The Book of Unwritten Tales 2,5.6,False
296710,Monstrum,5.6,False
432350,Epic Battle Fantasy 5,5.6,False
369180,SoulCraft,5.6,False
232050,Eador. Masters of the Broken World,5.6,False
328500,Potatoman Seeks the Troof,5.5,False
751060,Ice Age: Scrat's Nutty Adventure,5.5,False
1481400,Dagon,5.5,False
204880,Sins of a Solar Empire: Rebellion,5.5,False
943140,Sparklite,5.5,False
22670,Alien Breed 3: Descent,5.5,False
530930,Soulblight,5.5,False
470270,Tribal Pass,5.5,False
268220,Meltdown,5.5,False
770390,Draugen,5.5,False
1149710,Tesla Force,5.5,False
887060,Asterix & Obelix XXL 2,5.5,False
1701520,Afterimage,5.5,False
94300,The Dream Machine,5.4,False
458710,Kingdom Rush Frontiers,5.4,False
584990,The Long Reach,5.4,False
1148590,DOOM 64,5.4,False
307570,A Golden Wake,5.4,True
346900,AdVenture Capitalist,5.4,True
265830,Monochroma,5.4,False
336710,Supreme League of Patriots Issue 2: Patriot Frames,5.4,False
262830,Crimsonland,5.4,False
1085660,Destiny 2,5.4,False
214340,Deponia,5.4,True
227080,Papo & Yo,5.3,False
2067920,Rogue: Genesia,5.3,False
597150,Hyper Knights,5.3,False
1110380,Fit For a King,5.3,False
296830,Lucius II,5.3,False
356050,Beyond Eyes,5.3,False
966320,Later Alligator,5.3,False
633060,Orwell: Ignorance is Strength,5.3,False
818320,LEGO® The Incredibles,5.2,False
92800,SpaceChem,5.2,False
485870,Super Duper Party Pooper,5.2,False
982720,Paradise Lost,5.2,False
972660,Spiritfarer®: Farewell Edition,5.2,False
539470,Police Stories,5.2,False
1061910,Metal: Hellsinger,5.2,False
433100,The Town of Light,5.2,False
274350,Dropsy,5.2,False
525450,King Oddball,5.2,False
244430,realMyst: Masterpiece Edition,5.2,True
510420,The Hex,5.2,False
111600,Serious Sam Double D XXL,5.2,False
860950,Mark of the Ninja: Remastered,5.1,False
1573720,Agatha Christie - Hercule Poirot: The First Cases,5.1,False
331760,Supreme League of Patriots Issue 1: A Patriot Is Born,5.1,False
1056610,Heal,5.1,False
467360,Off-Peak,5.1,False
317400,Portal Stories: Mel,5.1,False
1069740,Seen,5.1,False
292910,Deponia: The Complete Journey,5.1,False
683320,GRIS,5.1,False
374030,Virginia,5.1,True
409160,"Dr. Langeskov, The Tiger, and The Terribly Cursed Emerald: A Whirlwind Heist",5.1,True
319630,Life is Strange™,5.1,False
875310,LIBERATED,5.1,False
255320,Edna & Harvey: The Breakout,5.1,False
881690,The Slater,5.0,False
1369520,Strangeland,5.0,True
257420,Serious Sam 4,5.0,False
1546100,A Musical Story,5.0,False
645320,SCARF,5.0,False
1191900,Say No! More,5.0,False
